Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
41,ligand_92,-10.97,-9.537,-9.048,-10.86,-8.68,1.005,5,5A14,-9.05
41,ligand_92,-10.97,-9.537,-9.048,-10.86,-8.68,1.005,5,5IF1,-8.68
41,ligand_92,-10.97,-9.537,-9.048,-10.86,-8.68,1.005,5,1W98,-8.74
42,ligand_6640,-10.53,-9.531,-10.42,-10.72,-7.9,1.459,5,1VYW,-10.64
42,ligand_6640,-10.53,-9.531,-10.42,-10.72,-7.9,1.459,5,7RWF,-10.72
42,ligand_6640,-10.53,-9.531,-10.42,-10.72,-7.9,1.459,5,5A14,-10.42
42,ligand_6640,-10.53,-9.531,-10.42,-10.72,-7.9,1.459,5,5IF1,-7.98
42,ligand_6640,-10.53,-9.531,-10.42,-10.72,-7.9,1.459,5,1W98,-7.9
43,ligand_1509,-11.81,-9.527,-9.006,-11.8,-7.64,1.593,5,1VYW,-11.8
43,ligand_1509,-11.81,-9.527,-9.006,-11.8,-7.64,1.593,5,7RWF,-10.35
43,ligand_1509,-11.81,-9.527,-9.006,-11.8,-7.64,1.593,5,5A14,-9.01
43,ligand_1509,-11.81,-9.527,-9.006,-11.8,-7.64,1.593,5,5IF1,-7.64
43,ligand_1509,-11.81,-9.527,-9.006,-11.8,-7.64,1.593,5,1W98,-8.84
44,ligand_1811,-10.57,-9.521,-10.6,-10.72,-7.09,1.631,5,1VYW,-10.6
44,ligand_1811,-10.57,-9.521,-10.6,-10.72,-7.09,1.631,5,7RWF,-10.72
44,ligand_1811,-10.57,-9.521,-10.6,-10.72,-7.09,1.631,5,5A14,-10.63
44,ligand_1811,-10.57,-9.521,-10.6,-10.72,-7.09,1.631,5,5IF1,-7.09
44,ligand_1811,-10.57,-9.521,-10.6,-10.72,-7.09,1.631,5,1W98,-8.56
45,ligand_189,-10.83,-9.483,-9.79,-10.97,-8.11,1.101,5,1VYW,-10.97
45,ligand_189,-10.83,-9.483,-9.79,-10.97,-8.11,1.101,5,7RWF,-9.79
45,ligand_189,-10.83,-9.483,-9.79,-10.97,-8.11,1.101,5,5A14,-9.81
45,ligand_189,-10.83,-9.483,-9.79,-10.97,-8.11,1.101,5,5IF1,-8.11
45,ligand_189,-10.83,-9.483,-9.79,-10.97,-8.11,1.101,5,1W98,-8.73
46,ligand_3739,-10.49,-9.48,-10.22,-10.51,-8.08,1.27,5,1VYW,-10.51
46,ligand_3739,-10.49,-9.48,-10.22,-10.51,-8.08,1.27,5,7RWF,-10.48
46,ligand_3739,-10.49,-9.48,-10.22,-10.51,-8.08,1.27,5,5A14,-10.22
46,ligand_3739,-10.49,-9.48,-10.22,-10.51,-8.08,1.27,5,5IF1,-8.11
46,ligand_3739,-10.49,-9.48,-10.22,-10.51,-8.08,1.27,5,1W98,-8.08
47,ligand_2048,-10.92,-9.459,-9.702,-10.96,-8.11,1.085,5,1VYW,-10.96
47,ligand_2048,-10.92,-9.459,-9.702,-10.96,-8.11,1.085,5,7RWF,-9.7
47,ligand_2048,-10.92,-9.459,-9.702,-10.96,-8.11,1.085,5,5A14,-9.77
47,ligand_2048,-10.92,-9.459,-9.702,-10.96,-8.11,1.085,5,5IF1,-8.11
47,ligand_2048,-10.92,-9.459,-9.702,-10.96,-8.11,1.085,5,1W98,-8.76
48,ligand_3748,-10.4,-9.458,-10.02,-10.55,-7.55,1.29,5,1VYW,-10.44
48,ligand_3748,-10.4,-9.458,-10.02,-10.55,-7.55,1.29,5,7RWF,-10.55
48,ligand_3748,-10.4,-9.458,-10.02,-10.55,-7.55,1.29,5,5A14,-10.02
48,ligand_3748,-10.4,-9.458,-10.02,-10.55,-7.55,1.29,5,5IF1,-7.55
48,ligand_3748,-10.4,-9.458,-10.02,-10.55,-7.55,1.29,5,1W98,-8.73
49,ligand_5350,-10.76,-9.455,-8.926,-11.52,-7.66,1.617,5,1VYW,-10.74
49,ligand_5350,-10.76,-9.455,-8.926,-11.52,-7.66,1.617,5,7RWF,-11.52
49,ligand_5350,-10.76,-9.455,-8.926,-11.52,-7.66,1.617,5,5A14,-8.93
49,ligand_5350,-10.76,-9.455,-8.926,-11.52,-7.66,1.617,5,5IF1,-7.66
49,ligand_5350,-10.76,-9.455,-8.926,-11.52,-7.66,1.617,5,1W98,-8.43
50,ligand_7218,-10.18,-9.441,-9.545,-10.78,-7.54,1.231,5,1VYW,-10.19
50,ligand_7218,-10.18,-9.441,-9.545,-10.78,-7.54,1.231,5,7RWF,-10.78
50,ligand_7218,-10.18,-9.441,-9.545,-10.78,-7.54,1.231,5,5A14,-9.54
50,ligand_7218,-10.18,-9.441,-9.545,-10.78,-7.54,1.231,5,5IF1,-7.54
50,ligand_7218,-10.18,-9.441,-9.545,-10.78,-7.54,1.231,5,1W98,-9.15
51,ligand_112,-10.31,-9.438,-10.38,-10.76,-7.21,1.55,5,1VYW,-10.38
51,ligand_112,-10.31,-9.438,-10.38,-10.76,-7.21,1.55,5,7RWF,-10.42
51,ligand_112,-10.31,-9.438,-10.38,-10.76,-7.21,1.55,5,5A14,-10.76
51,ligand_112,-10.31,-9.438,-10.38,-10.76,-7.21,1.55,5,5IF1,-7.21
51,ligand_112,-10.31,-9.438,-10.38,-10.76,-7.21,1.55,5,1W98,-8.42
52,ligand_382,-10.23,-9.41,-9.951,-10.41,-7.98,1.109,5,1VYW,-10.24
